cod_municipio,municipio,mesorregiao,populacao,n_ocorrencias,n_crime_rua,taxa_100k,taxa_crime_rua_100k
4306205.0,CRUZEIRO DO SUL,Centro Oriental Rio-grandense,11600.0,1946,611,4193.9655172413795,1316.810344827586
4322533.0,VALE DO SOL,Centro Oriental Rio-grandense,9897.0,1660,457,4193.189855511771,1154.390219258361
4318622.0,SAO JOSE DOS AUSENTES,Nordeste Rio-grandense,4172.0,695,234,4164.669223394056,1402.2051773729627
4320859.0,TABAI,Centro Oriental Rio-grandense,4461.0,741,210,4152.656355077337,1176.8661735036987
4305587.0,COLINAS,Centro Oriental Rio-grandense,2423.0,402,104,4147.75072224515,1073.0499380932727
4314175.0,PEDRAS ALTAS,Sudeste Rio-grandense,2061.0,341,150,4136.341581756429,1819.5050946142649
4305603.0,COLORADO,Noroeste Rio-grandense,3258.0,538,165,4128.29957028852,1266.1141804788215
4303707.0,CAMPINA DAS MISSOES,Noroeste Rio-grandense,5882.0,971,169,4126.997619857191,718.2930975858552
4300901.0,ARATIBA,Noroeste Rio-grandense,6483.0,1069,256,4122.3199136202375,987.1972852074657
4306452.0,DOIS LAJEADOS,Nordeste Rio-grandense,3097.0,510,124,4116.887310300291,1000.9686793671295
4314548.0,PINTO BANDEIRA,Nordeste Rio-grandense,2723.0,448,130,4113.1105398457585,1193.5365405802424
4314423.0,PICADA CAFE,Metropolitana de Porto Alegre,5351.0,880,227,4111.3810502709775,1060.5494300130815
4310876.0,JACUIZINHO,Noroeste Rio-grandense,2040.0,332,89,4068.6274509803925,1090.6862745098038
4308250.0,FLORIANO PEIXOTO,Noroeste Rio-grandense,1668.0,271,50,4061.7505995203833,749.4004796163069
4318051.0,SAO DOMINGOS DO SUL,Noroeste Rio-grandense,2754.0,447,116,4057.734204793028,1053.0137981118373
4312153.0,MATO LEITAO,Centro Oriental Rio-grandense,4859.0,788,226,4054.3321671125746,1162.7906976744187
4315453.0,RELVADO,Centro Oriental Rio-grandense,1796.0,291,82,4050.668151447662,1141.425389755011
4311791.0,MARATA,Metropolitana de Porto Alegre,2470.0,400,80,4048.582995951417,809.7165991902834
4322152.0,TUNAS,Noroeste Rio-grandense,3681.0,596,123,4047.8130942678617,835.3708231458843
4312625.0,MULITERNO,Noroeste Rio-grandense,1721.0,278,87,4038.3497966298664,1263.800116211505
4322541.0,VALE REAL,Metropolitana de Porto Alegre,6058.0,978,215,4035.9854737537144,887.2565203037307
4302584.0,BOZANO,Noroeste Rio-grandense,2151.0,346,108,4021.38540213854,1255.2301255230125
4312054.0,MARQUES DE SOUZA,Centro Oriental Rio-grandense,3969.0,638,208,4018.6444948349713,1310.153691106072
4323606.0,VISTA ALEGRE DO PRATA,Nordeste Rio-grandense,1590.0,253,44,3977.9874213836474,691.8238993710692
4319356.0,SAO PEDRO DA SERRA,Metropolitana de Porto Alegre,3548.0,564,130,3974.069898534385,916.0090191657271
4306304.0,DAVID CANABARRO,Noroeste Rio-grandense,4321.0,684,160,3957.4172645221015,925.7116408238834
4321493.0,TOROPI,Centro Ocidental Rio-grandense,2554.0,404,112,3954.5810493343774,1096.319498825372
4313425.0,NOVO MACHADO,Noroeste Rio-grandense,3198.0,505,104,3947.7798624140087,813.0081300813009
4305850.0,COQUEIROS DO SUL,Noroeste Rio-grandense,2211.0,349,110,3946.1781999095433,1243.7810945273632
4300703.0,ANTA GORDA,Nordeste Rio-grandense,5957.0,938,238,3936.545240893067,998.82491186839
4315008.0,PORTO LUCENA,Noroeste Rio-grandense,4360.0,685,137,3927.7522935779816,785.5504587155964
4318481.0,SAO JOSE DO HORTENCIO,Metropolitana de Porto Alegre,4447.0,697,143,3918.371936136721,803.9127501686531
4322186.0,TUPANCI DO SUL,Noroeste Rio-grandense,1374.0,215,43,3911.93595342067,782.387190684134
4300570.0,ALTO FELIZ,Metropolitana de Porto Alegre,3072.0,479,108,3898.1119791666665,878.90625
4313086.0,NOVA PADUA,Nordeste Rio-grandense,2343.0,365,89,3894.579598804951,949.637217242851
4311643.0,LINHA NOVA,Metropolitana de Porto Alegre,1683.0,262,70,3891.859774212715,1039.8098633392751
4315149.0,PRESIDENTE LUCENA,Metropolitana de Porto Alegre,3077.0,479,142,3891.777705557361,1153.7211569710757
4316428.0,SAGRADA FAMILIA,Noroeste Rio-grandense,2480.0,386,103,3891.1290322580644,1038.3064516129032
4319158.0,SAO MIGUEL DAS MISSOES,Noroeste Rio-grandense,7056.0,1096,351,3883.219954648526,1243.6224489795918
4321857.0,TRES PALMEIRAS,Noroeste Rio-grandense,4716.0,732,190,3880.407124681934,1007.2094995759118
4323754.0,VITORIA DAS MISSOES,Noroeste Rio-grandense,3260.0,505,105,3872.699386503067,805.2147239263804
4309654.0,HULHA NEGRA,Sudoeste Rio-grandense,5976.0,924,288,3865.4618473895584,1204.8192771084339
4307815.0,ESTRELA VELHA,Centro Oriental Rio-grandense,3070.0,473,115,3851.7915309446253,936.4820846905538
4311429.0,LAJEADO DO BUGRE,Noroeste Rio-grandense,2601.0,397,84,3815.8400615148016,807.3817762399077
4304507.0,CANGUCU,Sudeste Rio-grandense,49680.0,7566,2164,3807.367149758454,1088.9694041867956
4302204.0,BOA VISTA DO BURICA,Noroeste Rio-grandense,6966.0,1058,266,3797.0140683318978,954.6368073499857
4311718.0,MACAMBARA,Sudoeste Rio-grandense,4425.0,671,201,3790.9604519774007,1135.593220338983
4319364.0,SAO PEDRO DAS MISSOES,Noroeste Rio-grandense,1757.0,266,68,3784.8605577689245,967.5583380762664
4317905.0,SANTO CRISTO,Noroeste Rio-grandense,15320.0,2318,397,3782.6370757180157,647.8459530026109
4312476.0,MORRO REUTER,Metropolitana de Porto Alegre,6029.0,912,206,3781.7216785536575,854.2046773926025
4301503.0,AUGUSTO PESTANA,Noroeste Rio-grandense,7149.0,1079,254,3773.2550006993984,888.2361169394321
4318457.0,SAO JOSE DAS MISSOES,Noroeste Rio-grandense,2362.0,356,86,3767.993226079593,910.2455546147332
4320552.0,SERTAO SANTANA,Metropolitana de Porto Alegre,5863.0,881,245,3756.6092444141227,1044.6870202967764
4314498.0,PINHEIRINHO DO VALE,Noroeste Rio-grandense,4540.0,677,139,3727.9735682819387,765.4185022026431
4322327.0,TURUCU,Sudeste Rio-grandense,3419.0,509,148,3721.848493711612,1082.1877742029833
4304309.0,CANDIDO GODOI,Noroeste Rio-grandense,6294.0,935,129,3713.8544645694315,512.3927550047664
4315172.0,PROTASIO ALVES,Nordeste Rio-grandense,2025.0,300,59,3703.7037037037035,728.395061728395
4306429.0,DOIS IRMAOS DAS MISSOES,Noroeste Rio-grandense,2090.0,309,72,3696.172248803828,861.2440191387559
4305116.0,CENTENARIO,Noroeste Rio-grandense,2721.0,402,70,3693.4950385887537,643.1459022418228
4321634.0,TRES ARROIOS,Noroeste Rio-grandense,2591.0,382,69,3685.8355847163257,665.7661134697029
4314068.0,PASSA SETE,Centro Oriental Rio-grandense,3983.0,584,177,3665.5787095154406,1110.9716294250566
4316758.0,SANTA CLARA DO SUL,Centro Oriental Rio-grandense,6887.0,1002,243,3637.2876433860897,882.0967039349498
4309571.0,HERVEIRAS,Centro Oriental Rio-grandense,2565.0,372,112,3625.7309941520466,1091.617933723197
4311627.0,LINDOLFO COLLOR,Metropolitana de Porto Alegre,6248.0,905,231,3621.158770806658,924.2957746478874
4310579.0,ITAPUCA,Nordeste Rio-grandense,1937.0,280,57,3613.8358286009293,735.6737222509036
4312427.0,MORMACO,Noroeste Rio-grandense,2756.0,398,101,3610.3047895500727,916.1828737300434
4322251.0,TUPANDI,Metropolitana de Porto Alegre,5029.0,726,137,3609.0674090276393,681.0499105189899
4314787.0,PONTE PRETA,Noroeste Rio-grandense,1575.0,227,51,3603.1746031746034,809.5238095238094
4309126.0,GRAMADO DOS LOUREIROS,Noroeste Rio-grandense,2014.0,287,82,3562.5620655412117,1017.8748758689176
4305306.0,CHAPADA,Noroeste Rio-grandense,9540.0,1357,253,3556.0796645702303,662.9979035639412
4316956.0,SANTA MARIA DO HERVAL,Metropolitana de Porto Alegre,6340.0,900,164,3548.895899053628,646.6876971608833
4308656.0,GARRUCHOS,Sudoeste Rio-grandense,2688.0,381,142,3543.526785714286,1320.6845238095239
4306924.0,ENGENHO VELHO,Noroeste Rio-grandense,1296.0,183,51,3530.092592592592,983.7962962962963
4304697.0,CAPITAO,Centro Oriental Rio-grandense,2921.0,411,135,3517.6309483053747,1155.4262238959261
4305447.0,CHUVISCA,Metropolitana de Porto Alegre,4597.0,644,214,3502.284098324995,1163.8024798781814
4321832.0,TRES FORQUILHAS,Metropolitana de Porto Alegre,2760.0,385,85,3487.3188405797105,769.9275362318841
4318614.0,SAO JOSE DO SUL,Metropolitana de Porto Alegre,2380.0,331,63,3476.8907563025214,661.7647058823529
