tipo,registros,macro
"INOVAR ARTIFICIOSAMENTE,EM CASO DE ACIDENTE TRANSITO ART.312",3,OUTROS
ROUBO A MOTORISTA COM MORTE,3,ROUBO_OUTROS
ADVOCACIA ADMINISTRATIVA,3,OUTROS
AFIRMACAO ENGANOSA SOBRE PRODUTO,2,OUTROS
ROUBO A CASA LOTERICA,2,ROUBO_OUTROS
VIOLACAO DE SEPULTURA,2,OUTROS
RETENCAO DO CARTAO DE PESSOA COM DEFICIENCIA,2,OUTROS
ABANDONO DE FUNCAO,2,OUTROS
VILIPENDIO A CADAVER,2,OUTROS
TRAFICO DE INFLUENCIA,2,OUTROS
CRIME CONTRA O ORDENAMENTO URBANO E PATRIMONIO CULTURAL,2,DANO
FURTO DE DEFENSIVO AGRICOLA,2,FURTO_OUTROS
MODIFICACAO OU ALTERACAO NAO AUTORIZADA DE SISTEMA DE INFORMACOES,2,OUTROS
ROUBO DE ARMA COM LESOES,2,ROUBO_OUTROS
OUTROS CRIMES CONTRA A FAZENDA ESTADUAL,2,OUTROS
FRAUDAR POR QUALQUER MEIO OU CONTRIBUIR PARA QUE SE FRAUDE DE QUALQUER FORMA O RESULTADO DE COMPETICAO ESPORTIVA ART 41 E ESTATUTO REVOGADO PELA LEI N 14597 DE 2023,1,FRAUDE
CURANDERISMO,1,OUTROS
ROUBO A ESTABELECIMENTO COMERCIAL COM MORTE,1,ROUBO_OUTROS
RECEPTACAO DE ANIMAL,1,FRAUDE
CRIMES OCORRIDOS NA INVESTIGACAO E NA OBTENCAO DA PROVA DO CRIME ORGANIZADO ARTIGOS 18 A 21 DA LEI 12850 DE 2013,1,OUTROS
EXIGIR EXCLUSIVIDADE,1,OUTROS
CONSTITUICAO DE MILICIA PRIVADA,1,OUTROS
ROUBO A POSTO BANCARIO,1,ROUBO_OUTROS
CHARLATANISMO,1,OUTROS
"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER",1,OUTROS
SUPRESSAO OU ALTERACAO DE MARCA EM ANIMAIS,1,OUTROS
APROPRIACAO INDEBITA DE CELULAR,1,FRAUDE
